id,mz,rt,rtmin,rtmax,mean_inten,CPD-D-60m,CPD-H-60m,CPD-M-60m,CPD-R-60m
311,724.43249,4.6245,4.566,4.8477,1426000.0,63020.0,39930.0,54620.0,45610.0
312,476.22822,4.6105,4.5393,4.8975,4316000.0,580000.0,549000.0,570300.0,563900.0
313,606.36969,4.6821,4.5477,4.9626,451000.0,43200.0,49340.0,41710.0,41580.0
314,636.41664,4.6964,4.5621,5.1068,1132000.0,104500.0,85790.0,94260.0,89040.0
315,576.36037,4.6893,4.448,4.8761,298100.0,43500.0,47960.0,43500.0,43100.0
316,845.21417,4.7537,4.5477,4.9696,293300.0,393.6,109.4,455.3,26790.0
317,487.2752,4.7105,4.6461,4.9264,513600.0,22500.0,23750.0,23190.0,24750.0
318,515.27011,4.7105,4.6475,4.984,564600.0,25080.0,28100.0,25610.0,25930.0
319,532.29693,4.7105,4.6539,4.8233,62090000.0,2626000.0,2826000.0,2648000.0,2661000.0
320,537.25158,4.7105,4.662,4.7686,534900.0,19310.0,20970.0,18160.0,20930.0
321,560.32775,4.7105,4.6331,5.1928,2203000.0,88050.0,101800.0,91100.0,95970.0
322,535.30454,4.7105,4.6475,4.8377,529900.0,21900.0,22750.0,21290.0,23000.0
323,386.32641,4.7181,4.4907,4.9626,735100.0,96.63,47950.0,,
324,680.44273,4.7247,4.6188,5.0636,513800.0,45690.0,37070.0,40580.0,37290.0
325,650.39514,4.7319,4.6316,5.0058,313400.0,34700.0,29210.0,31280.0,31010.0
326,894.81066,4.7785,4.5946,4.9043,232300.0,274.0,534.3,462.1,17490.0
327,620.38704,4.7572,4.5968,5.0849,390700.0,43110.0,42730.0,41650.0,45150.0
329,789.47319,4.7465,4.6763,4.9525,243600.0,218.9,187.7,22910.0,471.6
330,581.27781,4.7964,4.7228,4.9815,483100.0,17420.0,17680.0,20170.0,20700.0
331,750.00035,4.7749,4.7109,4.9525,246200.0,252.8,231.9,20910.0,538.3
332,833.10421,4.8216,4.7373,4.9119,281700.0,638.4,389.3,14020.0,221.7
333,559.29659,4.7964,4.7331,5.0492,628000.0,21330.0,29030.0,24100.0,25880.0
334,576.32314,4.7964,4.7397,4.9187,53950000.0,1919000.0,2442000.0,2092000.0,2292000.0
335,604.35397,4.7964,4.7046,5.25,1525000.0,62360.0,81390.0,63340.0,72330.0
336,531.30167,4.7964,4.6946,4.9525,357500.0,13080.0,13420.0,14600.0,14330.0
338,504.25926,4.8,4.7609,4.8521,624400.0,21390.0,24440.0,24330.0,22820.0
339,495.27169,4.8107,4.7517,4.967,419800.0,2705.0,4758.0,21420.0,2514.0
340,833.26948,4.8682,4.7373,5.0831,326500.0,380.1,183.9,29950.0,452.4
341,575.26053,4.8143,4.6249,5.0105,210600.0,18740.0,27790.0,29460.0,28050.0
342,504.22317,4.8251,4.7904,5.0052,5063000.0,541100.0,215200.0,449500.0,571700.0
343,664.41169,4.8251,4.6475,4.9331,244400.0,22800.0,19390.0,21600.0,21410.0
344,476.26426,4.8575,4.7829,5.1784,762300.0,41160.0,40900.0,35720.0,39310.0
345,603.3226,4.8717,4.8045,5.1404,516800.0,21830.0,25020.0,21900.0,22330.0
346,620.34938,4.8717,4.8189,5.0197,37150000.0,1665000.0,1810000.0,1609000.0,1756000.0
347,648.3803,4.8717,4.7763,5.1923,943900.0,47120.0,50930.0,43670.0,49950.0
348,625.30412,4.8752,4.8333,4.9481,370600.0,13070.0,15960.0,13540.0,15750.0
349,509.28746,4.8823,4.8377,5.0773,984400.0,24030.0,5514.0,40440.0,4301.0
351,358.33161,4.8832,4.8045,5.0058,216300.0,53.4,11130.0,,
352,520.25444,4.9328,4.8619,5.0849,167900.0,8664.0,7896.0,6441.0,7599.0
354,692.4068,4.94,4.8546,5.2356,423900.0,21450.0,18530.0,15270.0,17910.0
355,664.37585,4.9436,4.8949,5.0629,16900000.0,776000.0,622900.0,544500.0,655700.0
356,647.34881,4.94,4.8756,5.1923,231700.0,12310.0,9322.0,8761.0,10350.0
357,683.22837,4.9761,4.8546,5.1068,196600.0,233.5,96.4,15480.0,176.2
358,715.81284,5.0013,4.8949,5.1418,216900.0,242.5,363.8,11190.0,495.6
359,834.8876,5.0085,4.8045,5.1418,328400.0,475.1,1516.0,32420.0,656.0
360,884.00188,5.0482,4.9093,5.1404,235100.0,310.3,149.0,27410.0,346.4
362,393.20358,4.9581,4.8949,5.0636,341700.0,12910.0,9716.0,2403.0,3793.0
363,715.86278,4.915,4.7829,5.2119,195600.0,248.8,243.5,23500.0,331.3
364,751.44799,4.9942,4.8114,5.1692,286700.0,369.4,416.8,33070.0,263.0
365,790.88844,4.9653,4.7829,5.164,256200.0,658.7,434.2,19910.0,337.0
366,834.82887,4.9977,4.9093,5.0831,247100.0,492.9,545.8,26860.0,866.8
367,883.88059,4.9473,4.797,5.1346,310400.0,329.3,360.1,25820.0,277.6
368,476.22848,4.9978,4.8897,5.293,1987000.0,277500.0,256300.0,113300.0,233000.0
369,751.39209,4.9546,4.8038,5.0347,226900.0,234.6,392.5,17480.0,620.6
370,834.76935,4.9439,4.8114,5.1207,225200.0,423.3,270.8,27100.0,884.5
371,504.25978,5.0122,4.9407,5.2641,5011000.0,302700.0,283900.0,172100.0,263100.0
372,505.26277,5.0122,4.8949,5.2498,1565000.0,93910.0,91210.0,42980.0,79480.0
373,708.4022,5.0122,4.8805,5.2119,4336000.0,208600.0,153000.0,187500.0,158000.0
374,491.24079,5.0375,4.9908,5.2072,191000.0,1505.0,7538.0,1654.0,1208.0
375,603.29218,5.0447,4.9525,5.1496,219900.0,14010.0,14590.0,7992.0,12040.0
376,416.30071,5.0483,4.8326,5.1404,369600.0,32630.0,8492.0,1017.0,5136.0
377,752.42828,5.07,4.984,5.2571,1508000.0,95270.0,57910.0,65060.0,80980.0
379,466.19965,5.0627,4.9237,5.3218,356000.0,50820.0,46920.0,12040.0,43950.0
380,822.90883,5.1489,5.025,5.2789,253100.0,662.4,339.6,15930.0,265.3
381,868.51342,5.1598,5.0395,5.2356,233700.0,426.5,227.6,25120.0,244.4
382,603.25544,5.088,4.9626,5.2838,172400.0,18440.0,22120.0,7817.0,18730.0
384,386.31679,5.0021,4.8975,5.2645,1345000.0,,55810.0,,51.97
385,868.56886,5.0914,4.9331,5.3967,243600.0,353.7,230.7,36470.0,252.0
387,391.3167,5.1068,5.0636,5.3076,1079000.0,,43430.0,,
388,523.26705,5.1132,5.0058,5.4208,3250000.0,132700.0,136800.0,80870.0,90420.0
389,509.25162,5.1132,5.0705,5.2427,567200.0,7796.0,16290.0,6942.0,25200.0
390,520.21849,5.1132,4.7542,5.5911,680100.0,92640.0,106400.0,76400.0,95580.0
391,822.96278,5.1201,5.0058,5.2838,223800.0,479.7,291.4,27090.0,249.1
392,372.34754,5.1279,5.0203,5.4352,3570000.0,48.94,178800.0,,
393,509.28761,5.1704,5.126,5.3967,1233000.0,50510.0,11890.0,43250.0,18600.0
396,370.33192,5.2387,5.0779,5.4352,903700.0,129.8,46380.0,52.79,56.01
397,495.27177,5.1811,5.1352,5.3543,265100.0,3829.0,2214.0,14910.0,7638.0
398,504.22345,5.1992,5.0629,5.3639,16580000.0,1965000.0,2042000.0,1528000.0,1774000.0
399,505.22665,5.1992,5.0128,5.4064,4789000.0,561000.0,471000.0,351900.0,548900.0
400,377.33742,5.2086,5.1068,5.3214,269300.0,239.1,12200.0,264.3,
401,532.25482,5.2171,5.1634,5.293,7185000.0,315700.0,324300.0,257400.0,287000.0
402,533.25805,5.2171,5.1634,5.293,2247000.0,96470.0,101500.0,81480.0,88460.0
403,375.32194,5.2373,5.1784,5.4208,291500.0,47.08,14530.0,134.0,
404,451.27023,5.2242,5.164,5.3218,232900.0,11910.0,11420.0,8744.0,10460.0
405,868.39334,5.2027,5.0636,5.4391,140200.0,378.8,199.2,15160.0,296.8
406,494.19454,5.2207,5.1068,5.3354,497000.0,47460.0,32930.0,27470.0,31880.0
407,430.22258,5.2458,5.1062,5.3495,257700.0,19100.0,18520.0,11160.0,14800.0
410,448.23301,5.3099,5.0779,5.5272,1309000.0,19930.0,100400.0,47150.0,46560.0
411,375.2156,5.3135,5.1118,5.4711,362500.0,599.5,20310.0,97.86,571.9
412,495.29632,5.3142,5.2262,5.468,202500.0,10850.0,9054.0,11060.0,8570.0
413,532.2187,5.3314,5.2645,5.5486,27780000.0,2536000.0,2742000.0,2370000.0,2588000.0
414,533.22179,5.3349,5.2072,5.5343,8325000.0,754300.0,566900.0,704800.0,759200.0
415,504.25935,5.3418,5.2406,5.606,2520000.0,144500.0,135400.0,130600.0,136500.0
416,505.26242,5.3418,5.2498,5.5772,726700.0,43100.0,39320.0,39490.0,37980.0
417,517.30907,5.3489,5.2356,5.5481,199600.0,11390.0,14020.0,8271.0,8276.0
418,466.19928,5.3846,5.25,5.6348,618200.0,45000.0,42940.0,39070.0,40220.0
419,494.23055,5.3988,5.3351,5.5416,431700.0,25810.0,25410.0,23470.0,26260.0
